RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
102001,0,United States,Country,,36,32,32,33,35,36,35,35,35,34,34,33,35,32,32,33,34,35,35,35,35,34,35,35,37,29,30,37,36,35,36,37,38,37,38,38,37,33,35,35,35,36,36,35,35,35,35,35,37,32,31,31
394913,1,"New York, NY",Msa,NY,63,58,50,51,54,57,59,56,56,56,54,53,60,58,51,52,52,55,56,55,55,56,55,54,60,59,38,50,60,56,48,52,56,58,60,61,56,47,57,61,62,64,66,65,64,64,63,56,62,64,57,53
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,34,29,30,30,31,31,31,30,31,31,31,31,33,30,30,31,31,32,32,31,32,32,32,32,34,28,29,34,31,31,31,32,33,34,33,34,35,30,31,31,30,31,30,30,30,30,30,30,32,28,28,28
394463,3,"Chicago, IL",Msa,IL,43,40,41,42,44,45,43,41,41,40,40,38,42,40,39,39,42,43,42,41,42,41,41,40,43,35,33,44,44,41,41,42,44,44,43,42,45,33,41,44,43,43,44,43,42,42,40,40,42,36,36,37
394514,4,"Dallas-Fort Worth, TX",Msa,TX,21,21,20,21,22,22,21,21,21,22,21,20,21,21,20,22,22,22,21,21,22,21,21,21,22,16,20,24,22,23,23,24,24,24,24,23,24,23,22,22,22,22,22,22,22,22,22,22,23,22,22,27
394974,5,"Philadelphia, PA",Msa,PA,41,37,36,40,41,39,36,42,43,42,41,40,42,38,39,40,42,44,44,42,42,42,41,41,45,37,36,44,51,42,42,44,44,37,42,43,45,41,42,42,42,44,44,43,42,42,41,42,45,40,38,37
394692,6,"Houston, TX",Msa,TX,32,30,31,31,33,34,32,31,32,31,31,30,32,30,30,31,32,32,32,31,32,32,31,31,32,25,28,34,32,34,34,35,36,36,35,35,36,33,35,34,33,34,32,32,32,31,31,31,32,30,29,30
395209,7,"Washington, DC",Msa,DC,29,22,21,23,26,31,35,34,35,34,34,35,37,33,32,33,34,36,35,34,34,34,34,34,37,31,30,35,36,35,35,35,34,29,34,34,35,32,30,31,31,31,31,32,32,31,33,32,34,30,28,28
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,37,34,36,36,37,40,39,37,37,36,36,34,36,31,34,36,38,38,39,36,39,37,36,36,38,30,29,41,40,36,38,41,41,42,41,41,28,30,37,41,42,43,43,42,41,41,41,41,42,38,37,36
394347,9,"Atlanta, GA",Msa,GA,33,30,30,31,32,33,31,31,31,30,30,29,30,29,29,31,31,31,31,30,31,30,30,31,31,24,27,31,30,31,31,31,32,31,30,30,31,30,30,31,30,30,29,29,29,29,28,29,32,29,28,27
