0,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
102001,0,United States,Country,,227793,229161,230490,231816,233044,234166,235205,236192,237180,238156,239140,240151,241201,242179,243018,243741,244412,245041,245619,246205,246869,247611,248366,249210,250209,251365,252665,253900,254779,255524,256671,258628,261182,264053,267152,270275,273615,277081,280853,284808,289602,295215,301192,306680,311382,315546,319485,323895,328660,333905,339152,344667
394913,1,"New York, NY",Msa,NY,454684,457253,460225,463331,465822,467592,468310,469019,470143,471871,473678,475308,476350,477307,478201,479278,479980,480212,480138,479966,479644,479284,479076,479678,480737,482299,483893,485602,486639,487345,488832,491762,496887,502912,509583,515923,521347,526680,531671,537030,543207,551077,559674,567784,574037,578902,582718,586214,590445,595360,602064,609442
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,670063,675485,680707,685414,687997,690896,691212,692049,692431,695818,697712,697139,695923,693718,692433,692021,693103,694219,693423,694360,697366,701936,704076,705975,709182,715685,723187,728674,726786,723813,725823,735716,747163,757945,766125,773099,778884,787081,795820,807868,824811,845930,868216,882698,892611,897888,905615,915573,927205,940500,959260,979825
394463,3,"Chicago, IL",Msa,IL,237514,238888,239718,240226,240682,241111,241532,241846,242519,243037,243819,244443,245021,245818,246326,246828,246866,246764,246696,246614,246603,246493,246493,246713,247212,247838,248386,248512,248354,248329,249371,251098,254088,257086,259983,262299,263911,266429,268758,272059,275047,279132,283550,287900,291158,293988,296830,299700,302490,305217,308707,312363
394514,4,"Dallas-Fort Worth, TX",Msa,TX,239307,241308,243280,244849,246034,247173,248156,249362,250380,251479,252556,253883,255595,256721,257346,257381,257506,257503,257566,258248,259399,259967,260230,260144,261149,262104,263376,264013,264453,265091,266180,268577,271221,274377,276816,279472,281840,285281,289391,295043,301604,309090,317077,325128,332449,338641,344247,350282,357878,366559,374813,384474
394974,5,"Philadelphia, PA",Msa,PA,236626,237866,239367,240903,241906,242439,242925,243467,244260,244994,246060,247083,248124,248883,249767,250455,251094,251326,251761,252222,252703,253128,253649,254547,255500,256530,257043,258093,258936,260312,261975,264629,267841,271594,275203,278988,282313,285526,288719,292134,296588,301541,306211,309959,312926,315460,318024,320384,323028,325668,329030,332832
394692,6,"Houston, TX",Msa,TX,209708,210197,210707,211672,212698,213625,214203,215121,216102,217126,217920,218630,219613,220460,220959,220987,221093,221530,222013,222457,222765,223497,224244,224901,224853,225077,225679,226724,227327,227753,228228,229289,231233,233417,235847,238133,240484,243157,245107,247627,250873,256228,262144,268263,273239,277626,280869,284370,287902,292319,297791,303932
395209,7,"Washington, DC",Msa,DC,431949,432931,434639,436352,438076,439601,440775,441642,442407,443470,444429,446128,447876,449965,451264,451999,452169,452359,452269,453154,454458,456518,458410,459890,460835,461922,463339,465430,466577,468232,471071,475560,480696,485727,490878,495868,500789,506142,512518,520011,527910,535423,541065,545138,547920,551138,554453,558354,562634,568232,574423,580378
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,321331,323363,325504,327394,329414,331166,333124,334338,335238,336064,338166,340084,341975,342203,342783,343234,343499,344019,344284,344341,344218,344879,345763,346266,347142,349577,351878,353764,354920,355921,356765,358484,361275,364596,367697,371457,375575,379279,383938,388383,395286,402850,411768,420777,430573,440436,449576,458118,467581,476562,488686,501431
394347,9,"Atlanta, GA",Msa,GA,218026,220043,221469,222852,224167,225600,227102,228638,230342,232089,233742,235272,236427,237571,238778,240058,241073,241512,242031,242784,243781,244607,245396,246499,247708,249213,250298,251368,251951,252853,254243,256392,259149,262190,265400,268829,272287,276332,280472,285408,291001,297989,305604,313265,320499,328074,335803,343812,351481,358434,365803,373413
