RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
102001,0,United States,Country,,42,25,22,19,20,21,24,27,31,33,37,44,45,29,24,20,21,22,26,27,29,31,35,43,42,24,17,22,20,18,16,14,15,15,16,21,19,11,7,7,7,7,9,10,11,11,12,15,11,8,7,6
394913,1,"New York, NY",Msa,NY,65,39,35,35,34,39,44,49,51,46,50,59,66,45,40,37,39,44,51,55,56,51,57,67,76,46,36,43,46,27,27,29,31,29,35,45,56,30,24,22,22,25,28,29,32,32,38,40,47,25,21,20
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,21,14,16,15,16,18,21,24,28,28,33,42,39,26,24,21,21,23,24,26,28,27,29,38,28,16,14,21,18,18,15,15,14,14,15,18,15,11,10,11,11,11,12,13,13,13,13,14,12,10,10,10
394463,3,"Chicago, IL",Msa,IL,51,23,16,17,16,22,26,30,34,38,45,56,57,27,22,19,23,25,29,33,35,38,45,55,52,25,21,32,22,18,18,17,17,18,23,34,26,14,7,7,6,8,10,12,15,17,21,28,21,8,7,6
394514,4,"Dallas-Fort Worth, TX",Msa,TX,36,24,23,20,21,24,25,30,33,35,40,41,46,32,29,27,27,29,31,34,37,40,43,46,45,30,27,29,26,25,24,23,23,22,23,25,21,18,14,13,13,14,14,16,18,17,17,19,17,13,6,5
394974,5,"Philadelphia, PA",Msa,PA,49,30,24,17,19,23,20,25,27,27,32,44,42,26,19,18,21,25,31,29,28,28,35,43,43,20,15,30,16,13,12,11,18,12,13,19,14,10,7,7,7,8,10,11,12,12,12,16,14,8,7,7
394692,6,"Houston, TX",Msa,TX,43,28,19,18,19,22,24,30,36,38,40,44,45,28,24,22,22,24,28,34,37,37,37,42,47,30,25,31,29,25,20,19,22,18,18,21,21,14,10,8,7,8,9,12,15,13,14,15,15,9,8,7
395209,7,"Washington, DC",Msa,DC,50,33,27,24,27,21,20,25,25,29,30,38,31,13,10,10,13,16,20,22,19,22,27,37,23,10,7,12,12,9,8,7,15,8,9,13,7,6,5,5,6,6,8,9,9,11,12,13,7,5,5,5
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,47,39,39,40,40,40,38,40,42,42,43,50,53,42,43,48,47,46,43,45,47,40,44,51,53,41,39,42,48,40,34,31,30,28,30,39,42,28,23,18,15,15,16,16,17,17,17,19,19,13,11,11
394347,9,"Atlanta, GA",Msa,GA,31,16,13,12,13,13,16,19,21,22,27,34,33,21,18,15,17,18,21,24,25,26,30,39,38,26,17,20,23,21,19,16,15,15,15,18,13,8,6,6,6,6,7,8,9,8,10,11,9,7,6,6
