DaysOnMarket,POPESTIMATE2020,RegionName,HomeValue
59.17857142857143,2677643,"Chicago, IL",272492.6785714286
55.75,1578487,"Philadelphia, PA",289535.25
50.035714285714285,2316120,"Houston, TX",252338.9642857143
42.82142857142857,512550,"Atlanta, GA",291759.6785714286
54.285714285714285,691531,"Boston, MA",581767.6071428572
39.07142857142857,866606,"San Francisco, CA",1315838.3214285714
47.0,665369,"Detroit, MI",204252.75
46.964285714285715,330786,"Riverside, CA",466463.60714285716
40.214285714285715,1708127,"Phoenix, AZ",365504.0714285714
36.32142857142857,769714,"Seattle, WA",660072.9642857143
36.035714285714285,1422420,"San Diego, CA",768073.2857142857
45.75,297645,"St. Louis, MO",209976.92857142858
45.785714285714285,407599,"Tampa, FL",287692.14285714284
48.25,586131,"Baltimore, MD",337435.25
38.285714285714285,735538,"Denver, CO",537829.25
62.214285714285715,299226,"Pittsburgh, PA",185983.64285714287
39.642857142857146,656751,"Portland, OR",495573.25
41.785714285714285,900350,"Charlotte, NC",294218.25
36.642857142857146,512838,"Sacramento, CA",514945.28571428574
48.857142857142854,1567118,"San Antonio, TX",269528.3214285714
47.714285714285715,289457,"Orlando, FL",307958.78571428574
42.642857142857146,304548,"Cincinnati, OH",223957.17857142858
48.214285714285715,378589,"Cleveland, OH",187421.0
44.25,662368,"Las Vegas, NV",354932.96428571426
38.0,903852,"Columbus, OH",258352.60714285713
38.392857142857146,1013616,"San Jose, CA",1484606.392857143
42.57142857142857,995484,"Austin, TX",441575.96428571426
58.892857142857146,179270,"Providence, RI",381525.89285714284
52.142857142857146,589067,"Milwaukee, WI",240313.67857142858
53.535714285714285,920570,"Jacksonville, FL",279679.1785714286
45.392857142857146,649705,"Memphis, TN",185151.64285714287
60.142857142857146,121535,"Hartford, CT",288072.96428571426
44.535714285714285,232226,"Richmond, VA",282145.6785714286
53.42857142857143,389476,"New Orleans, LA",235006.5357142857
76.85714285714286,254479,"Buffalo, NY",204209.5357142857
41.857142857142854,474414,"Raleigh, NC",340572.75
41.285714285714285,206950,"Birmingham, AL",200440.39285714287
31.535714285714285,204087,"Salt Lake City, UT",489600.60714285716
62.392857142857146,205225,"Rochester, NY",182238.39285714287
39.57142857142857,200031,"Grand Rapids, MI",255258.64285714287
49.535714285714285,553571,"Tucson, AZ",276590.14285714284
47.17857142857143,403166,"Tulsa, OK",174277.5357142857
41.32142857142857,530267,"Fresno, CA",324723.4285714286
54.964285714285715,184570,"Worcester, MA",360113.64285714284
78.07142857142857,131397,"Stamford, CT",558407.75
45.214285714285715,562540,"Albuquerque, NM",253933.0
14.035714285714286,95429,"Albany, NY",231756.39285714287
41.07142857142857,478393,"Omaha, NE",233173.60714285713
65.25,130801,"New Haven, CT",290128.28571428574
47.964285714285715,385725,"Bakersfield, CA",276397.5714285714
43.285714285714285,190223,"Knoxville, TN",237289.67857142858
49.142857142857146,72227,"Greenville, SC",240184.4642857143
59.5,121470,"Allentown, PA",250115.85714285713
49.464285714285715,681534,"El Paso, TX",158189.17857142858
58.82142857142857,219052,"Baton Rouge, LA",207962.85714285713
41.75,139907,"Dayton, OH",161865.60714285713
64.75,143751,"McAllen, TX",138853.2857142857
57.392857142857146,132130,"Columbia, SC",187736.9642857143
44.42857142857143,297878,"Greensboro, NC",187471.85714285713
46.392857142857146,195994,"Akron, OH",175196.35714285713
55.214285714285715,197866,"Little Rock, AR",167147.9642857143
40.92857142857143,312716,"Stockton, CA",458489.46428571426
51.214285714285715,139714,"Charleston, SC",324523.3214285714
