,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
0,102001,0,United States,Country,,250209.0,251365.0,252665.0,253900.0,254779.0,255524.0,256671.0,258628.0,261182.0,264053.0,267152.0,270275.0,273615.0,277081.0,280853.0,284808.0,289602.0,295215.0,301192.0,306680.0,311382.0,315546.0,319485.0,323895.0,328660.0,333905.0,339152.0,344667
1,394913,1,"New York, NY",Msa,NY,480737.0,482299.0,483893.0,485602.0,486639.0,487345.0,488832.0,491762.0,496887.0,502912.0,509583.0,515923.0,521347.0,526680.0,531671.0,537030.0,543207.0,551077.0,559674.0,567784.0,574037.0,578902.0,582718.0,586214.0,590445.0,595360.0,602064.0,609442
2,753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,709182.0,715685.0,723187.0,728674.0,726786.0,723813.0,725823.0,735716.0,747163.0,757945.0,766125.0,773099.0,778884.0,787081.0,795820.0,807868.0,824811.0,845930.0,868216.0,882698.0,892611.0,897888.0,905615.0,915573.0,927205.0,940500.0,959260.0,979825
3,394463,3,"Chicago, IL",Msa,IL,247212.0,247838.0,248386.0,248512.0,248354.0,248329.0,249371.0,251098.0,254088.0,257086.0,259983.0,262299.0,263911.0,266429.0,268758.0,272059.0,275047.0,279132.0,283550.0,287900.0,291158.0,293988.0,296830.0,299700.0,302490.0,305217.0,308707.0,312363
4,394514,4,"Dallas-Fort Worth, TX",Msa,TX,261149.0,262104.0,263376.0,264013.0,264453.0,265091.0,266180.0,268577.0,271221.0,274377.0,276816.0,279472.0,281840.0,285281.0,289391.0,295043.0,301604.0,309090.0,317077.0,325128.0,332449.0,338641.0,344247.0,350282.0,357878.0,366559.0,374813.0,384474
5,394974,5,"Philadelphia, PA",Msa,PA,255500.0,256530.0,257043.0,258093.0,258936.0,260312.0,261975.0,264629.0,267841.0,271594.0,275203.0,278988.0,282313.0,285526.0,288719.0,292134.0,296588.0,301541.0,306211.0,309959.0,312926.0,315460.0,318024.0,320384.0,323028.0,325668.0,329030.0,332832
6,394692,6,"Houston, TX",Msa,TX,224853.0,225077.0,225679.0,226724.0,227327.0,227753.0,228228.0,229289.0,231233.0,233417.0,235847.0,238133.0,240484.0,243157.0,245107.0,247627.0,250873.0,256228.0,262144.0,268263.0,273239.0,277626.0,280869.0,284370.0,287902.0,292319.0,297791.0,303932
7,395209,7,"Washington, DC",Msa,DC,460835.0,461922.0,463339.0,465430.0,466577.0,468232.0,471071.0,475560.0,480696.0,485727.0,490878.0,495868.0,500789.0,506142.0,512518.0,520011.0,527910.0,535423.0,541065.0,545138.0,547920.0,551138.0,554453.0,558354.0,562634.0,568232.0,574423.0,580378
8,394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,347142.0,349577.0,351878.0,353764.0,354920.0,355921.0,356765.0,358484.0,361275.0,364596.0,367697.0,371457.0,375575.0,379279.0,383938.0,388383.0,395286.0,402850.0,411768.0,420777.0,430573.0,440436.0,449576.0,458118.0,467581.0,476562.0,488686.0,501431
9,394347,9,"Atlanta, GA",Msa,GA,247708.0,249213.0,250298.0,251368.0,251951.0,252853.0,254243.0,256392.0,259149.0,262190.0,265400.0,268829.0,272287.0,276332.0,280472.0,285408.0,291001.0,297989.0,305604.0,313265.0,320499.0,328074.0,335803.0,343812.0,351481.0,358434.0,365803.0,373413
