,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020_x,2/29/2020_x,3/31/2020_x,4/30/2020_x,5/31/2020_x,6/30/2020_x,7/31/2020_x,8/31/2020_x,9/30/2020_x,10/31/2020_x,11/30/2020_x,12/31/2020_x,1/31/2021_x,2/28/2021_x,3/31/2021_x,4/30/2021_x,5/31/2021_x,6/30/2021_x,7/31/2021_x,8/31/2021_x,9/30/2021_x,10/31/2021_x,11/30/2021_x,12/31/2021_x,1/31/2022_x,2/28/2022_x,3/31/2022_x,4/30/2022_x,2020-NowAvg,1/31/2020_y,2/29/2020_y,3/31/2020_y,4/30/2020_y,5/31/2020_y,6/30/2020_y,7/31/2020_y,8/31/2020_y,9/30/2020_y,10/31/2020_y,11/30/2020_y,12/31/2020_y,1/31/2021_y,2/28/2021_y,3/31/2021_y,4/30/2021_y,5/31/2021_y,6/30/2021_y,7/31/2021_y,8/31/2021_y,9/30/2021_y,10/31/2021_y,11/30/2021_y,12/31/2021_y,1/31/2022_y,2/28/2022_y,3/31/2022_y,4/30/2022_y,2020-NowAvgDays,POPESTIMATE2020
0,394463,3,"Chicago, IL",Msa,IL,247212.0,247838.0,248386.0,248512.0,248354.0,248329.0,249371.0,251098.0,254088.0,257086.0,259983.0,262299.0,263911.0,266429.0,268758.0,272059.0,275047.0,279132.0,283550.0,287900.0,291158.0,293988.0,296830.0,299700.0,302490.0,305217.0,308707.0,312363,272492.6785714286,95.0,60.0,54.0,76.0,66.0,59.0,59.0,59.0,61.0,62.0,66.0,76.0,71.0,47.0,48.0,51.0,49.0,51.0,54.0,55.0,57.0,59.0,61.0,68.0,63.0,44.0,43.0,43.0,59.17857142857143,2677643
3,394974,5,"Philadelphia, PA",Msa,PA,255500.0,256530.0,257043.0,258093.0,258936.0,260312.0,261975.0,264629.0,267841.0,271594.0,275203.0,278988.0,282313.0,285526.0,288719.0,292134.0,296588.0,301541.0,306211.0,309959.0,312926.0,315460.0,318024.0,320384.0,323028.0,325668.0,329030.0,332832,289535.25,88.0,57.0,51.0,74.0,67.0,55.0,54.0,55.0,62.0,49.0,55.0,62.0,59.0,51.0,49.0,49.0,49.0,52.0,54.0,54.0,54.0,54.0,53.0,58.0,59.0,48.0,45.0,44.0,55.75,1578487
5,394692,6,"Houston, TX",Msa,TX,224853.0,225077.0,225679.0,226724.0,227327.0,227753.0,228228.0,229289.0,231233.0,233417.0,235847.0,238133.0,240484.0,243157.0,245107.0,247627.0,250873.0,256228.0,262144.0,268263.0,273239.0,277626.0,280869.0,284370.0,287902.0,292319.0,297791.0,303932,252338.9642857143,79.0,55.0,53.0,65.0,61.0,59.0,54.0,54.0,58.0,54.0,53.0,56.0,57.0,47.0,45.0,42.0,40.0,42.0,41.0,44.0,47.0,44.0,45.0,46.0,47.0,39.0,37.0,37.0,50.035714285714285,2316120
6,394347,9,"Atlanta, GA",Msa,GA,247708.0,249213.0,250298.0,251368.0,251951.0,252853.0,254243.0,256392.0,259149.0,262190.0,265400.0,268829.0,272287.0,276332.0,280472.0,285408.0,291001.0,297989.0,305604.0,313265.0,320499.0,328074.0,335803.0,343812.0,351481.0,358434.0,365803.0,373413,291759.6785714286,69.0,50.0,44.0,51.0,53.0,52.0,50.0,47.0,47.0,46.0,45.0,48.0,44.0,38.0,36.0,37.0,36.0,36.0,36.0,37.0,38.0,37.0,38.0,40.0,41.0,36.0,34.0,33.0,42.82142857142857,512550
7,394404,10,"Boston, MA",Msa,MA,512729.0,514859.0,517514.0,518977.0,520223.0,520155.0,522342.0,527968.0,535236.0,543311.0,550857.0,558629.0,565023.0,571961.0,578082.0,585038.0,593359.0,604451.0,615402.0,624189.0,630010.0,635329.0,640278.0,645427.0,651366.0,659208.0,668464.0,679106,581767.6071428572,77.0,53.0,48.0,57.0,59.0,53.0,53.0,54.0,53.0,55.0,56.0,65.0,60.0,53.0,50.0,51.0,52.0,54.0,53.0,54.0,52.0,51.0,52.0,57.0,55.0,50.0,46.0,47.0,54.285714285714285,691531
11,395057,11,"San Francisco, CA",Msa,CA,1171113.0,1179289.0,1191435.0,1192642.0,1182682.0,1172164.0,1174629.0,1192759.0,1207431.0,1220406.0,1230782.0,1238609.0,1244789.0,1255908.0,1273051.0,1296352.0,1327787.0,1364356.0,1401296.0,1424265.0,1437537.0,1442051.0,1452779.0,1465098.0,1484621.0,1509911.0,1541150.0,1568581,1315838.3214285714,44.0,36.0,35.0,44.0,42.0,41.0,40.0,40.0,40.0,41.0,41.0,46.0,41.0,36.0,37.0,37.0,37.0,38.0,39.0,39.0,40.0,39.0,40.0,42.0,38.0,33.0,33.0,35.0,39.07142857142857,866606
13,394532,12,"Detroit, MI",Msa,MI,178908.0,180120.0,182120.0,183705.0,184058.0,183174.0,182969.0,184541.0,187256.0,190277.0,193300.0,196304.0,198672.0,201162.0,203402.0,205610.0,208447.0,212144.0,215933.0,219221.0,221437.0,223594.0,224654.0,226327.0,228696.0,231485.0,234355.0,237206,204252.75,81.0,48.0,41.0,67.0,52.0,44.0,48.0,48.0,50.0,50.0,52.0,56.0,50.0,38.0,41.0,40.0,39.0,41.0,42.0,43.0,46.0,47.0,45.0,50.0,49.0,38.0,36.0,34.0,47.0,665369
17,395025,13,"Riverside, CA",Msa,CA,391432.0,393037.0,394532.0,396961.0,398354.0,399315.0,401670.0,406395.0,412253.0,418032.0,424128.0,430668.0,436969.0,443596.0,450982.0,460574.0,472467.0,485851.0,501180.0,515209.0,527104.0,534227.0,538766.0,543769.0,553598.0,565107.0,577883.0,586922,466463.60714285716,72.0,52.0,49.0,60.0,56.0,51.0,48.0,47.0,48.0,48.0,49.0,51.0,49.0,42.0,41.0,42.0,41.0,43.0,42.0,43.0,44.0,44.0,45.0,47.0,46.0,38.0,38.0,39.0,46.964285714285715,330786
19,394976,14,"Phoenix, AZ",Msa,AZ,290414.0,292503.0,295574.0,299759.0,302514.0,304282.0,306318.0,310840.0,316202.0,321596.0,327040.0,333301.0,340685.0,347155.0,355985.0,362924.0,375057.0,386712.0,400061.0,410547.0,418909.0,426759.0,433048.0,439208.0,445027.0,453798.0,463136.0,474760,365504.0714285714,52.0,41.0,40.0,48.0,51.0,50.0,43.0,41.0,42.0,41.0,43.0,47.0,40.0,34.0,33.0,35.0,34.0,36.0,37.0,36.0,39.0,39.0,41.0,44.0,40.0,35.0,32.0,32.0,40.214285714285715,1708127
21,395078,15,"Seattle, WA",Msa,WA,552791.0,559034.0,565367.0,569975.0,570124.0,569662.0,571604.0,580144.0,590114.0,601568.0,611577.0,619193.0,626941.0,635045.0,644940.0,656113.0,669100.0,687956.0,704795.0,719259.0,728342.0,736713.0,748564.0,761033.0,775761.0,789642.0,808555.0,828131,660072.9642857143,41.0,34.0,33.0,39.0,37.0,38.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,36.0,34.0,36.0,35.0,36.0,36.0,36.0,37.0,35.0,36.0,36.0,36.0,33.0,32.0,33.0,36.32142857142857,769714
23,395056,17,"San Diego, CA",Msa,CA,637922.0,641480.0,647673.0,651913.0,655080.0,655428.0,659436.0,666815.0,677887.0,689903.0,703116.0,714667.0,724973.0,734017.0,745126.0,760327.0,783104.0,809181.0,835005.0,850858.0,861572.0,866764.0,874909.0,886989.0,908895.0,930722.0,955756.0,976534,768073.2857142857,50.0,41.0,38.0,24.0,14.0,42.0,39.0,38.0,39.0,39.0,39.0,40.0,39.0,36.0,36.0,36.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,36.0,36.0,31.0,31.0,31.0,36.035714285714285,1422420
25,395121,18,"St. Louis, MO",Msa,MO,186937.0,187892.0,188311.0,188905.0,189055.0,189782.0,190999.0,192984.0,195182.0,197364.0,199597.0,201690.0,203800.0,205684.0,208089.0,210723.0,214209.0,218010.0,221695.0,224125.0,225474.0,226460.0,228150.0,230450.0,233342.0,236722.0,240423.0,243300,209976.92857142858,75.0,50.0,41.0,49.0,48.0,45.0,45.0,47.0,47.0,46.0,48.0,54.0,55.0,43.0,42.0,43.0,42.0,44.0,44.0,43.0,45.0,44.0,43.0,45.0,43.0,38.0,36.0,36.0,45.75,297645
28,395148,19,"Tampa, FL",Msa,FL,237225.0,238627.0,240475.0,242202.0,243384.0,244578.0,245959.0,248679.0,251564.0,254891.0,258843.0,263105.0,267897.0,272281.0,276869.0,281417.0,286901.0,295162.0,304845.0,314333.0,322348.0,329049.0,336065.0,341951.0,350095.0,357994.0,368627.0,380014,287692.14285714284,67.0,51.0,48.0,59.0,58.0,55.0,49.0,49.0,48.0,48.0,49.0,49.0,49.0,41.0,40.0,41.0,40.0,41.0,41.0,40.0,42.0,41.0,41.0,42.0,42.0,38.0,37.0,36.0,45.785714285714285,407599
30,394358,20,"Baltimore, MD",Msa,MD,305407.0,305885.0,306746.0,307242.0,307872.0,308543.0,310349.0,313119.0,316320.0,319926.0,323551.0,327463.0,330342.0,333800.0,337257.0,341342.0,344931.0,349159.0,353484.0,357101.0,359404.0,361087.0,363555.0,365946.0,369047.0,372427.0,376515.0,380367,337435.25,84.0,59.0,46.0,60.0,56.0,54.0,51.0,50.0,56.0,41.0,49.0,55.0,50.0,43.0,42.0,41.0,40.0,42.0,42.0,43.0,45.0,46.0,47.0,49.0,48.0,40.0,37.0,35.0,48.25,586131
33,394530,21,"Denver, CO",Msa,CO,464562.0,466840.0,468794.0,470361.0,471874.0,472943.0,474468.0,477828.0,482506.0,488111.0,494156.0,500518.0,507215.0,514507.0,522734.0,532071.0,544455.0,558501.0,572943.0,583424.0,591023.0,597656.0,605718.0,615504.0,626055.0,638032.0,651787.0,664633,537829.25,50.0,37.0,36.0,44.0,43.0,40.0,41.0,41.0,42.0,41.0,40.0,40.0,40.0,34.0,34.0,36.0,34.0,35.0,36.0,36.0,38.0,39.0,39.0,38.0,38.0,33.0,34.0,33.0,38.285714285714285,735538
